,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
219,ESFP,"['ESFJ', 'ESFJ', 'ISTJ', 'ESFP']",0.73625,0.15801008670334943,0.25625
220,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESTP']",0.80125,0.1511363209159201,0.2175
221,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESTP']",0.81625,0.1304499425066949,0.1875
222,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESTP']",0.8075,0.14188463623662712,0.23625
223,ESTP,"['ESFJ', 'ESFJ', 'ISTJ', 'ESTP']",0.75125,0.16440707861889645,0.24875
224,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISFP']",0.83125,0.13272975363497064,0.17625
225,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISFP']",0.81375,0.14947303268482914,0.1825
226,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISFP']",0.81875,0.13272975363497064,0.1975
227,ISFP,"['ESFJ', 'ESFJ', 'ISTJ', 'ISFP']",0.79375,0.14724023736737182,0.2325
228,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTP']",0.81125,0.1280807850538089,0.19125
229,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTP']",0.82625,0.12611378790600178,0.17625
230,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTP']",0.83375,0.13584803090218128,0.195
231,ISTP,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTP']",0.77875,0.14126106151378023,0.23625
232,ESFJ,"['ESFJ', 'ESFJ', 'ENFP', 'ENFP']",0.81875,0.13506364240608945,0.18875
233,ESFJ,"['ESFJ', 'ESFJ', 'ENFP', 'ENFP']",0.80375,0.1349247475446962,0.205
234,ENFP,"['ESFJ', 'ESFJ', 'ENFP', 'ENFP']",0.8175,0.14188463623662712,0.195
235,ENFP,"['ESFJ', 'ESFJ', 'ENFP', 'ENFP']",0.7975,0.14228053275132194,0.22
